|0
Nevada Young Readers' Award for Young Reader Category|20
Ars Translationis|19
PEN/Hemingway Foundation Award Nominee|19
Premio Internacional de Novela Rómulo Gallegos|19
Seiun Award 星雲賞 Nominee for Best Foreign Novel|19
Best Children's Books of the Year|19
Pulitzer Prize for Novel|19
CBC Canada Reads Nominee|19
Scott O'Dell Award|19
Oklahoma Sequoyah Award for Children|19
Boston Globe-Horn Book Award|19
Preis der Leseratten des ZDF|18
Golden Archer Award for Intermediate|18
Pulitzer Prize for History|18
Alabama Author Award for Fiction|18
Retro Hugo Award for Best Novella|18
Deutscher Krimi Preis for 3. Platz International|18
Macavity Award Nominee for Best First Mystery Novel|18
Borders Original Voices Award for Fiction|18
Caldecott Medal|18
Red House Children's Book Award|18
Deutscher Jugendliteraturpreis Nominee for Jugendbuch|18
Mythopoeic Fantasy Award|18
Pacific Northwest Library Association Young Reader's Choice Award for Senior|18
Guardian Fiction Award|17
Commonwealth Writers' Prize for Best First Book Overall|17
Michigan Library Association Thumbs Up! Award Nominee|17
Ferro-Grumley Award for Gay Fiction|17
Great Lakes Colleges Association New Writers Award for Fiction|17
Deutscher Krimi Preis for 2. Platz International|17
PEN Translation Prize for John E. Woods|17
North East Teenage Book Award|17
Parenting Book of the Year Award|17
Shamus Award for Best PI Hardcover|17
Miles Franklin Literary Award Nominee|17
Grand Canyon Reader Award for Intermediate Book|17
Locus Award Nominee for Best Single Author Collection|17
Commonwealth Writers' Prize for Best Book in South Asia and Europe|17
Prometheus Award Nominee for Best Novel|17
Australian Book Industry Award|17
Balrog Award for Best Collection/Anthology|16
Ambassador Book Award for American Studies|16
Lillian Smith Book Award|16
Prêmio Jabuti for Tradução|16
Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar|16
Virginia Reader's Choice for Elementary|16
Kinderboekwinkelprijs|16
Locus Award Nominee for Best Collection|16
Coretta Scott King Book Award for Author Honor|16
Gandalf Award|16
Premi Ictineu for Millor novel·la traduïda|16
Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction|16
Geffen Award for Best Translated SF Book|16
Bram Stoker Award for Best Work for Young Readers|16
Locus Award Nominee for All-Time Best Science Fiction Novel|16
Specsavers National Book Award for Children's Book of the Year|16
Stonewall Book Award for Literature|16
Audie Award for Children's Titles|16
Golden Duck Award for Young Adult|16
Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction|16
Premi Protagonista Jove for Categoria 12-13 anys|16
Grammy Award Nominee for Best Spoken Word Album|16
Retro Hugo Award for Best Novel|16
Barry Award for Best Novel|16
California Book Award for Juvenile|16
New South Wales Premier's Literary Award for Christina Stead Prize for Fiction|15
Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία|15
Premio de traducción literaria Valle Inclán for John Rutherford|15
Independent Foreign Fiction Prize|15
SF Chronicle Award Nominee for Novel|15
South Carolina Book Award Nominee for Young Adult Book Award|15
Kurd-Laßwitz-Preis for Foreign Novel|15
Shamus Award Nominee for Best First PI Novel|15
Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication|15
Barry Award for Best First Novel|15
Anthony Award Nominee for Best Novel of the Century|15
International Fantasy Award for Fiction|15
New Mexico Land of Enchantment Award for Young Adult|15
Grand Prix de l'Imaginaire Nominee for Roman étranger|15
Locus Award for Best First Novel|15
Book Sense Book of the Year Award for Adult Fiction|15
Premio letterario Giuseppe Acerbi|15
Orange Prize for Fiction|15
Whitbread Award for Children's Book of the Year|15
Whitbread Award for Novel|15
RITA Award by Romance Writers of America Nominee for Long Historical Romance|15
Laurence L. & Thomas Winship/PEN New England Award|15
Teen Read Award Nominee for Best All-Time-Fave|14
National Book Award for Children's Books|14
British Book of the Year|14
Audie Award for Solo Narration - Female|14
Geoffrey Faber Memorial Prize|14
Canberra's Own Outstanding List|14
North Carolina Children's Book Award|14
Townsend Prize for Fiction|14
Barry Award Nominee for Best British Crime Novel|14
Premi Protagonista Jove for Categoria 13-14 anys|14
Edgar Award for Best Juvenile|14
Edgar Award Nominee for Best Fact Crime|14
SF Chronicle Award for Novel|14
Hea Lasteraamat|14
Glass Key Award|14
The Best of the Booker Nominee|14
Corine Internationaler Buchpreis for Belletristik|14
Nero Award|14
Metų verstinė knyga Nominee|14
Shamus Award for Best First PI Novel|14
Maine Student Book Award|14
Prix Goncourt des Lycéens|14
Canadian Booksellers Association Libris Award for Fiction Book|14
Hugo Award Nominee for Best All-Time Series|13
Book Sense Book of the Year Award Nominee for Adult|13
Audie Award for Best Audio Drama|13
Zilveren Zoen|13
Locus Award for Best Non-Fiction|13
Pacific Northwest Library Association Young Reader's Choice Award for Junior|13
إمبيرتو|13
RITA Award by Romance Writers of America Nominee for Contemporary Single Title Romance|13
Prix Aurora Award for Best Long Form Work in English|13
National Book Council Banjo Award for Fiction|13
Sunday Express Book of the Year|13
Michael L. Printz Award Nominee|13
NSK Neustadt Prize for Children's Literature Nominee|13
Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury|13
Whitbread Award for Novel and Book of the Year|13
Los Angeles Times Book Prize for Current Interest|13
Premio Strega|13
The Macallan Gold Dagger for Fiction|13
New York Public Library Young Lions Fiction Award Nominee|13
Premio Il Libro dell'anno|13
Gaylactic Spectrum Award Nominee for Best Novel|13
Beehive Book Award for Children's Fiction|12
ALS Gold Medal|12
Tähtivaeltaja Award Nominee|12
National Book Award Finalist for Translation|12
British Science Fiction Association Award for Best Novel|12
Prijs van de Jonge Jury|12
Victorian Premier's Literary Award for Vance Palmer Prize for Fiction|12
IAFA William L. Crawford Fantasy Award|12
Charlie May Simon Children's Book Award Nominee|12
Premio Ignotus Nominee for Mejor novela extranjera|12
Humo's Gouden Bladwijzer|12
Kiriyama Prize Nominee for Fiction|12
Mekka-prijs|12
John Llewellyn Rhys Prize|12
Sunburst Award Nominee for Canadian Novel|12
South Carolina Book Award for Young Adult Book|12
James Tiptree Jr. Award|12
Thurber Prize Nominee for American Humor|12
Retro Hugo Award Nominee for Best Novel|12
