|0
RITA Award by Romance Writers of America Nominee for First Book & Nominee for Paranormal Romance|1
Premio de traducción literaria Valle Inclán for Nick Caistor|1
Prijs van de Vlaamse Gemeenschap voor Proza|1
Gumshoe Award Nominee for Best Thriller|1
James Tait Black Memorial Prize|1
"Retro Hugo Award for Best Novella for ""The Man Who Sold the Moon"""|1
Victorian Premier's Literary Award for Nettie Palmer Prize for Non-Fiction|1
Prix Roger-Nimier|1
Le Blanc Award for Melhor Romance Estrangeiro de Fantasia|1
"Locus Award Nominee for Best Anthology and Best Novella for ""Seventy-Two Letters"""|1
Nita B. Kibble Literary Award|1
"HOMer Award Nominee for Novelette for ""Another Story"""|1
"HOMer Award Nominee for Best Novella for ""Story of Your Life"""|1
Premio Alberto Moravia|1
Premio Grinzane Cavour for Narrativa Italiana|1
Nynorsk litteraturpris|1
Heart & Scroll Madcap Award|1
منحة غونكور للرواية الأولى|1
HOLT Medallion by Virginia Romance Writers Nominee for Paranormal|1
Prix du Festival d'Angoulême for Prix du premier album|1
Soeurette Diehl Fraser Award for Best Translation|1
Golden Medallion by Romance Writers of America Nominee for Contemporary Romance over 80|1
Prix Aurora Award for Meilleur livre en français|1
The ESFS Award for Novel|1
Brooker Award|1
British Science Fiction Association Award for Special Award|1
New York City Book Award for Biography|1
O. Henry Award for 'The Pugilist at Rest'|1
O. Henry Award|1
"Theodore Sturgeon Memorial Award for ""Forgiveness Day"""|1
Prémio Pessoa|1
Finlandia Prize|1
Newfoundland and Labrador Book Awards for Fiction|1
Hilary Weston Writers' Trust Prize for Nonfiction|1
Whitbread Award for Biography|1
Locus Award Nominee for Best Novella|1
Iowa Short Fiction Award|1
"James Tiptree Jr. Award Nominee for Longlist for ""Forgiveness Day"""|1
Locus Award for Best First Novel and Nominee for Best SF Novel|1
"Theodore Sturgeon Memorial Award Nominee for ""Another Story or A Fisherman of the Inland Sea"""|1
The Hughes & Hughes Literary Award|1
Kentucky Bluegrass Award|1
"Locus Award Nominee for Best Short Story for ""The Crystal Spheres"""|1
Locus Award Nominee for Fantasy Novel|1
Golden Duck Award Nominee|1
Nestlé Smarties Book Prize for 9 – 11 Years|1
Rudolf Koivu -palkinto|1
Anni Swan -mitali|1
Children's Book Council of Australia Award for Picture Book of the Year - Joint Winner|1
Walt Whitman Award|1
Mountains and Plains Booksellers Association Regional Book Award|1
Międzynarodowa Nagroda Literacka im. Janusza Korczaka|1
Ruth and Sylvia Schwartz Children's Book Award for Children's Picture Book|1
Lambda Literary Award for Best Lesbian Fiction|1
Daphne du Maurier Award of Excellence|1
National Book Award Finalist for Arts and Letters|1
Buckeye Children's Book Award for 4-8|1
RITA Award by Romance Writers of America for Best Contemporary Single Title & nominee for Best Romance of 1998|1
Deutscher Jugendliteraturpreis for Sachbuch|1
Lambda Literary Award for Editor's Choice|1
"Nebula Award Nominee for Best Novelette for ""Burning Chrome"""|1
Ruth Lilly Poetry Prize|1
Will Eisner Comic Industry Awards for Best Graphic Album|1
Georgia Children's Book Award|1
John Simmons Short Fiction Award|1
Library of Congress Children's Book Award|1
Boston Globe-Horn Book Award for Fiction Honor Book|1
Deutscher Jugendliteraturpreis|1
本屋大賞 Nominee for Translated Fiction|1
SF Chronicle Award Nominee for Best Novella|1
"Analog Award Nominee for Best Novella/Novelette for ""The Locusts"""|1
Le Blanc Award Nominee for Melhor Antologia Estrangeira de Fantasia|1
Noma Literary Prize 野間文芸賞 for New Face Prize|1
Best Continuing or Limited Series|1
Harvey Awards for Best US Edition of Foreign Material|1
Winter Rose Award of Excellence|1
"Hugo Award Nominee for Best Novelette for ""Guardians"""|1
Eric Hoffer Book Award Nominee for General Fiction|1
& Best Cartoonist|1
Locus Award Nominee for All-Time Best SF Novel|1
National Book Award for Science Fiction|1
"World Fantasy Award for Best Anthology/Collection and Nominee for Best Short Fiction for ""Children of the Kingdom"""|1
Caughey Western History Prize|1
J. A. Hollon palkinto|1
Blue Hen Book Award|1
Premio Torrente Ballester|1
SF Chronicle Award for Best Novelette|1
"Nebula Award Nominee for Best Short Story for ""Shatterday"""|1
Pushcart Prize|1
Daphne du Maurier Award for Suspense|1
Anthony Award for Best Critical Work|1
John K. Fairbank Prize|1
Judy Grahn Award Nominee|1
Booker Prize for The Lost Man Booker Prize|1
South Florida Sun-Sentinel for Best Mysteries|1
Premi Protagonista Jove Nominee for Categoria 16-17 anys|1
Historical or Journalistic Presentation & Best Writer|1
Deutscher Krimi Preis for 2. Platz National|1
Grand Prix de l'Imaginaire|1
"Nebula Award for Best Novella for ""Story of Your Life"""|1
The E.H. McCormick Award Best First Book|1
Writers’ League of Texas Teddy Award|1
Christianity Today Book Award|1
Ambassador Book Award for American Arts & Letters|1
Premio Bancarelino|1
National Book Award for Biography|1
American Institute of Physics Science Writing Award|1
Edgar Award Nominee for Best Young Adult|1
گنکو|1
Sunshine State Young Readers Award for Grades 3-5|1
Akateemisen kirjakaupan myydyin esikoisteos|1
Foreword INDIES Book of the Year Award Nominee for Fiction|1
Lambda Literary Award for Lesbian Mystery|1
Icelandic Literary Prize Nominee for Fiction|1
Human Rights Literature and Other Writing Award|1
"Nebula Award Nominee for Best Short Story for ""None So Blind"""|1
O. Henry Award for 'Puttermesser Paired'|1
"Nebula Award Nominee for Best Short Story for ""Dori Bangs"""|1
Premi Ramon Llull|1
"Balrog Award Nominee for Best Short Fiction for ""Children of the Kingdom"""|1
Pearl Award Winner|1
Favorite Books by Romance Writers of America Nominee for Favorite Books of 2001|1
New Mexico Young Readers Award|1
Scottish Arts Council Book of the Year Award|1
Harvey Awards for Best Writer|1
Elsa Beskow-plaketten|1
Boston Globe-Horn Book Award for Picture Book|1
James A. Rawley Prize|1
"Balrog Award Nominee for Best Short Fiction for ""Grail"""|1
Prix de la critique|1
Национална награда „Христо Г. Данов“ for Преводна художествена литература|1
Young Readers' Choice Award Nominee|1
Premio Ignotus Nominee for 	Mejor novela extranjera|1
OKRWA National Readers Choice Award for Single Title Contemporary|1
ACFW Carol Award|1
"Locus Award Nominee for Best Novelette for ""San Diego Lightfoot Sue"""|1
Avery O. Craven Award|1
Prix du Festival d'Angoulême for Alph-art du meilleur album|1
Premio Ignotus for Mejor antología|1
Whitbread Award Nominee for Children's Book|1
EU Descartes Prize for science communication|1
Best Colorist|1
"Locus Award Nominee for Best Anthology and Best  Short Story for ""The Story So Far"""|1
Locus Award Nominee for Best Young Adult Book|1
HOLT Medallion by Virginia Romance Writers for Short Historical|1
Will Eisner Comic Industry Awards for Best Graphic Album–New|1
Helen and Kurt Wolff Translator's Prize for Krishna Winston|1
RBL Romantica Hughie Award for Favorite Hero|1
Agatha Award for Best Childrens Young Adult|1
Best Continuing Series|1
Alan Paton Award|1
Land of Enchantment Book Award for Young Adult|1
"Hugo Award Nominee for Best Novella for ""Story of Your Life"""|1
Prix Millepages Award for Foreign Fiction|1
Lambda Literary Award for AIDS & for Nonfiction|1
Kiriyama Prize Nominee|1
Book Sense Book of the Year Award for Children's Illustrated|1
Helen and Kurt Wolff Translator's Prize for Breon Mitchell|1
"Hugo Award Nominee for Best Novelette for ""The Locusts"""|1
National Book Award for First Novel|1
Gouden Griffel|1
"Hugo Award for Best Novelette for ""Fire Watch"""|1
Society of Midland Authors Award for Biography|1
Lambda Literary Award Nominee|1
Icelandic Literary Prize for Fiction|1
Phi Beta Kappa Award in Science|1
RITA Award by Romance Writers of America Nominee for Short Contemporary Romance|1
Governor General's Literary Awards / Prix littéraires du Gouverneur général for Nonfiction|1
Hackmatack Children's Choice Award for English Fiction|1
Julia Cherry Spruill Prize|1
WH Smith Teen Choice Award|1
RIO Award of Excellence by Reviewers International Organization for Favorite Paranormal|1
"SF Chronicle Award for Short Story for ""Dori Bangs"""|1
Rosenthal Family Foundation Award for Fiction|1
Macavity Award for Best Nonfiction|1
Colorado Young Readers Award|1
John Florio Prize for Stuart Woolf|1
Openbook好書獎 for 年度好書．翻譯書|1
Human Rights Award for Children's Book|1
"Nebula Award Nominee for Best Novelette for ""Mikal's Songbird"""|1
"Theodore Sturgeon Memorial Award Nominee for ""Heroics"""|1
"Nebula Award for Best Novelette for ""The Doors of His Face"|1
Pulitzer Prize for Special Citation|1
"Agatha Award for Best Short Story for ""The Dog Who Remembered Too Much"" by Elizabeth Daniels Squire"|1
Idaho Book of the Year Award Nominee for|1
"James Tiptree Jr. Award Nominee for ""Story of Your Life"""|1
BTBA Best Translated Book Award for Fiction|1
Guinness Peat Aviation Award|1
National Book Award Finalist for Poetry|1
Fletcher Pratt Award|1
"SF Chronicle Award for Novelette for ""Fire Watch"""|1
George Washington Book Prize|1
IRA Children’s and Young Adult’s Book Award for Young Adult–Fiction|1
National Biography Award|1
HOLT Medallion by Virginia Romance Writers for Long Historical|1
"Locus Award for Best Collection and Best Short Story for ""None So Blind"""|1
Prix René Fallet|1
Eugène Marais-prys|1
Prijs van de Nederlandse Kinderjury for 6-9 jaar|1
"Balrog Award Nominee for Best Short Fiction for ""Jeffty Is Five"""|1
Grand prix du roman noir|1
Children's Book Council of Australia Award Nominee for Picture Books|1
Lambda Literary Award for Gay Men's Debut Fiction|1
Henry Kriesel Award for Best First Book|1
Oklahoma Sequoyah Award for Children's|1
Jewish Quarterly-Wingate Prize for Nonfiction|1
"Analog Award Nominee for Best Novella/Novelette for ""Guardians"""|1
Macavity Award for Best Novel|1
Locus Award Nominee for Best Novella and Best SF Novel|1
BP Natural World Book Award|1
"Nebula Award Nominee for Best Novelette for ""Rockabye Baby"""|1
Kiitos kirjasta -mitali|1
Purple Dragonfly Book Awards for Historical Fiction|1
Wellcome Book Prize Nominee for Shortlist|1
Mr. Christie's Book Award|1
National Book Award Finalist for Biography and Autobiography|1
Arizona YA Book Award Nominee|1
"Hugo Award for Best Novelette for ""Taklamakan"""|1
Will Eisner Comic Industry Awards for Talent Deserving of Wider Recognition|1
San Francisco Book Festival Nominee for Photography/Art|1
New Mexico Land of Enchantment Award for Children's|1
IRA Children’s and Young Adult’s Book Award for Young Adult Category|1
"Nebula Award for Best Novelette for ""Louise's Ghost"""|1
Hackmatack Children's Choice Award for Fiction|1
Seiun Award 星雲賞 for Best Translated Novel|1
Augustpriset Nominee for Fiction|1
Pennsylvania Young Readers' Choice Award for Young Adults|1
Charles S. Sydnor Award|1
Premio Biblioteca Breve|1
Premio Viareggio Nominee for|1
"Locus Award Nominee for Best Novelette for ""Rockabye Baby"""|1
RITA Award by Romance Writers of America for Best Romantic Novella|1
"Locus Award Nominee for Best Anthology and Best Short Story for ""The Edge of the World"""|1
British Fantasy Award for Best Anthology|1
ECPA Christian Book Award for Fiction|1
Premio de traducción literaria Valle Inclán for Sonia Soto|1
"""Show 'Em All"""|1
HOLT Medallion by Virginia Romance Writers for Best First Book|1
HOLT Medallion by Virginia Romance Writers for Long Inspirational|1
Mythopoeic Fantasy Award Nominee for for Adult Literature|1
Nestlé Smarties Book Prize for 6 – 8 Years|1
Nestlé Smarties Book Prize for 0 – 5 Years & Overall|1
Médaille de l'Académie canadienne-française|1
Premi Sant Jordi|1
Dobbie Literary Award Nominee|1
Prix des Libraires algériens|1
Joan Kelly Memorial Prize in Women's History|1
Prix du Festival d'Angoulême for Prix de la critique|1
Science Book Prize Nominee|1
"Hugo Award Nominee for Best Novelette for ""The Winter Market"""|1
M-Net Literary Award|1
Wilderness Society's Environment Award for Children's Literature Nominee for Picture Book|1
DebutantenPrijs|1
Claudia Lewis Award|1
James Tiptree Jr. Award Nominee for Special Mention - 20th Anniversary Republication|1
Fraenkel Prize of the Wiener Library|1
Sveriges Radios Romanpris|1
Grand Prix de l'Imaginaire for prix spécial du jury|1
Prix Alain-Fournier|1
International Rubery Book Award|1
NSK Neustadt Prize for Children's Literature|1
Best Novel|1
Prix Tour-Apollo Award for Prix Apollo|1
Harvey Awards for Best Graphic Album of Original Work|1
"Asimov's Readers' Poll Award for Best Novella for ""Forgiveness Day"""|1
Will Eisner Comic Industry Awards for Best Single Issue|1
Davitt Award for Best Adult Novel|1
Best Single Issue or Story|1
"SF Chronicle Award for Short Story for ""None So Blind"""|1
Minnesota Book Award for Biography|1
Boston Globe-Horn Book Award for Non-Fiction|1
Gayle Wilson Award of Excellence for Inspirational Romance|1
Desert Rose Golden Quill Award|1
"Locus Award for Best Novelette for ""Guardians"""|1
Flicker Tale Children's Book Award Nominee for Juvenile|1
Desert Rose Golden Quill Award for Best Paranormal|1
William Saroyan International Prize for Writing for Nonfiction|1
"Hugo Award Nominee for Best Short Story for ""The Story So Far"""|1
Merle Curti Award|1
Gouden Strop|1
Theakston Old Peculier Crime Novel of the Year|1
Best Lettering|1
Ockham New Zealand Book Awards for Cultural Heritage|1
Booker Prize Nominee for The Lost Man Booker Prize|1
Prometheus Hall of Fame Award Nominee for Best Classic Libertarian SF Novel|1
Prix Broquette-Gonin de l'Académie Française for Littérature|1
Yale Series of Younger Poets Competition|1
The Booker of Bookers Prize|1
Booksellers' Best Award for Best Paranormal|1
Prix Aurora Award for Best Long Form|1
Children's Book Council of Australia Award for Picture Book of the Year|1
Hugo Award for Other Forms|1
Locus Award for Best Novelette|1
Royal Society Science Book Prize for Junior Prize|1
Prémio de Melhor Ficção Narrativa - Gala da Sociedade Portuguesa de Autores|1
Anthony Award Nominee for Best Short Story Collection|1
RITA Award by Romance Writers of America Nominee for Long Contemporary Series Romance|1
HOLT Medallion by Virginia Romance Writers for Short Inspirational|1
Prix Jan Michalski|1
"Hugo Award for Best Short Story for ""The Crystal Spheres"""|1
Best Finite Series|1
Science Fiction and Fantasy Translation Award Nominee for Long Form|1
Prémio Camões|1
Boston Globe-Horn Book Award Nominee for Fiction and Poetry|1
Nestlé Smarties Book Prize for 9-11 years|1
Balrog Award for Best Collection|1
RITA Award by Romance Writers of America Nominee for Futuristic/Fantasy/Paranormal Romance|1
Tom-Gallon Trust Award for 'The Egg Man'|1
"Analog Award Nominee for Best Short Story for ""The Man Who Was Heavily into Revenge"""|1
HOLT Medallion by Virginia Romance Writers for Historical|1
Prix Littéraire Européen - Madeleine Zepter|1
"Theodore Sturgeon Memorial Award Nominee for ""The Elizabeth Complex"""|1
Prometheus Award|1
OKRWA National Readers Choice Award|1
Ficção Científica ou Terror Publicada em Língua Portuguesa|1
"Theodore Sturgeon Memorial Award Nominee for ""Seventy-Two Letters"""|1
RITA Award by Romance Writers of America for Best Single Title Historical  & Nominee for Best Romance of the Year|1
French-American Foundation Translation Prize Nominee for Fiction|1
O. Henry Award for 'Errand'|1
Last Laugh Dagger|1
FHL Reader’s Choice Award|1
Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Αγγλόφωνη Λογοτεχνία|1
Futuristic and Paranormal Special Interest Chapter of RWA for Fantasy|1
Alfred-Döblin-Preis for Förderpreis|1
Judy Grahn Award for Lesbian Nonfiction|1
"Balrog Award Nominee for Best Short Fiction for ""Fire Watch"""|1
"SF Chronicle Award Nominee for Best Novelette for ""The Winter Market"""|1
Olive Schreiner Prize for Prose|1
Anthony Award Nominee for Best Critical/Biographical|1
Seiun Award 星雲賞 for Best Translated Long Form|1
RBL Romantica Hughie Award for Best Anthology|1
Marsh Biography Award|1
HOLT Medallion by Virginia Romance Writers for Mainstream/Single Title|1
Ockham New Zealand Book Awards for Best First Book|1
Aurealis Award Nominee for Best Novel|1
National Critics' Prize of Catalonia|1
RBL Romantica Hughie Award for Best Cover|1
OKRWA National Readers Choice Award for Short Contemporary|1
Los Angeles Times Book Prize Nominee for Art Seidenbaum Award for First Fiction|1
Hugo Award Nominee for Best Short Story|1
Premio Aztlán Literary Prize|1
Grand Prix de l'Imaginaire for roman étranger traduit|1
Hugo Award for Best Related Work|1
Minnesota Book Award for Genres|1
SCBWI Golden Kite Award for Picture Book Illustration|1
Tage der deutschsprachigen Literatur for Ernst-Willner-Preis|1
Schlegel-Tieck Prize for John Brownjohn|1
Prix Jules Verne|1
Premio Sor Juana Inés de la Cruz|1
Hugo Award for Best Short Story for “None So Blind”|1
National Book Critics Circle Award for Poetry|1
Locus Award for Best Non-Fiction/Art|1
Lambda Literary Award for Gay Fiction|1
Pulitzer Prize for Nonfiction|1
James Beard Foundation Book Award Nominee for Writing on Food|1
Helen and Kurt Wolff Translator's Prize for John Brownjohn|1
Evening Standard Award for Best Comedy|1
Thom Gunn Award for Gay Poetry|1
Will Eisner Comic Industry Awards for Best Graphic Album–Reprint|1
Lambda Literary Award Nominee for Lesbian Mystery|1
Premio Alassio Centolibri - Un autore per l'Europa|1
James Russell Lowell Prize|1
Audie Award for Literary Fiction|1
Jane Grigson Award|1
"Nebula Award Nominee for Best Short Story for ""The Elizabeth Complex"""|1
New York City Book Award for Book of the Year|1
Asian/Pacific American Award for Literature for Children and Young Adult|1
BRLA|1
Harvey Awards for Best Continuing or Limited Series & Best Colorist|1
Helen and Kurt Wolff Translator's Prize Nominee for Michael Hulse|1
Deutscher Science Fiction Preis for Bester Roman|1
Prix Aujourd'hui|1
Edgar Award for Best Best Juvenile|1
Anisfield-Wolf Book Award for Nonfiction|1
Australian Natives' Literature Award|1
Commonwealth Writers' Prize Nominee for Best Book in South East Asia and Pacific|1
Prêmio Lourenço Filho|1
"Nebula Award for Best Novelette for ""Fire Watch"""|1
"Hugo Award Nominee for Best Novella for ""Forgiveness Day"""|1
Canada Council Children's Literature Award|1
RIO Award of Excellence by Reviewers International Organization for Favorite Anthology|1
Locus Award for Best Novella|1
Phantastik-Preis der Stadt Wetzlar|1
Francis Awards Triple Nominee|1
HOLT Medallion by Virginia Romance Writers for Paranormal/Time Travel/Futuristic & Best First Book|1
Best Anthology|1
Brageprisen Nominee for Fiction|1
Deutscher Jugendliteraturpreis for Kindersachbuch|1
Massachusetts Book Award for Poetry|1
Premio Nonino|1
"Asimov's Readers' Poll Award Nominee for Best Novelette for ""Taklamakan"""|1
"Hugo Award Nominee for Best Short Fiction for ""The Doors of His Face"|1
Minnesota Book Award for Young Adult Fiction|1
British Science Fiction Association Award for Best SF Novel|1
OKRWA National Readers Choice Award for Long Contemporary|1
"Hugo Award Nominee for Best Novelette for ""Mikal's Songbird"""|1
Deutscher Bücherpreis Nominee|1
OKRWA National Readers Choice Award for Regency|1
Maggie Award for Excellence|1
Booktrust Teenage Prize Shortlist|1
National Book Critics Circle Award Nominee|1
National Book Award Finalist for The Sciences|1
Weekly Reader Editor's Choice|1
"Theodore Sturgeon Memorial Award Nominee for ""Dori Bangs"""|1
Deutscher Jugendliteraturpreis for Bilderbuch|1
Christy Award for Suspense / Mystery|1
Saltire Society Literary Award for Book of the Year|1
Frank L. and Harriet C. Owsley Award|1
000 Words|1
RIO Award of Excellence by Reviewers International Organization|1
Ockham New Zealand Book Awards Nominee for 2nd|1
National Book Award for Autobiography/Biography|1
Whitbread Award for Poetry|1
Deutscher Krimi Preis for 1. Platz National|1
"Analog Award for Best Short Story for ""The Crystal Spheres"""|1
Hugo Award for Best Related Book|1
Victorian Premier's Literary Award for Children's Books|1
HOLT Medallion by Virginia Romance Writers for Short Contemporary|1
Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer|1
Orange Prize Nominee for New Writers|1
Scott Moncrieff Prize for Patricia Clancy|1
Brageprisen for Fiction|1
Prix Fénéon|1
Best Biographical|1
Harvey Awards for Best Graphic Album of Original Material|1
Kuvastaja|1
"Locus Award Nominee for Best Novelette for ""Fire Watch"""|1
"Analog Award Nominee for Best Novelette for ""Mikal's Songbird"""|1
Saskatchewan Book Award|1
Jane Addams Children's Book Award Nominee for Special Recognition|1
Marten Toonder/Geertjan Lubberhuizenprijs|1
Green Mountain Book Award|1
Rivertonprisen|1
Sunshine State Young Readers Award Nominee|1
Wolfson History Prize|1
Bancroft Prize for rescind for scholarly misconduct|1
Ridenhour Book Prize|1
Weickhardt Award|1
1998)|1
IACP Cookbook Awards|1
Favorite Books by Romance Writers of America for Favorite Books of 2001|1
Schneider Family Book Award for Teen Book|1
BTBA Best Translated Book Award Nominee for Fiction Shortlist|1
Keystone to Reading Book Award for Primary|1
Henry Adams Prize|1
Gay Men's Small Press Book Award|1
Janusz A. Zajdel Award for Novel|1
John W. Campbell Memorial Award Nominee for Best Novel|1
Living Now Book Awards|1
"Retro Hugo Award Nominee for Best Novelette for ""Dead Knowledge"""|1
Golden Medallion by Romance Writers of America Nominee for Historical Romance|1
Angelus Nominee|1
Grand Prix de l'Imaginaire for Roman francophone|1
Angus Book Award|1
California Young Readers Medal Nominee for Young Adult & Middle School/Junior High|1
"World Fantasy Award for Best Short Fiction for ""Mackintosh Willy"" and Nominee for Best Anthology/Collection"|1
Vondel Prize for Stacey Knecht|1
HOLT Medallion by Virginia Romance Writers Nominee for Southern Theme|1
Desert Rose Golden Quill Award for Best Historical Romance|1
Oregon Book Award Nominee for Nonfiction|1
Affaire de Coeur Critics Choice Award Nominee|1
Government & Political Science|1
French-American Foundation Translation Prize for Non-fiction|1
Whitbread Award|1
Prix du Festival d'Angoulême for Alph-art du coup de coeur|1
PROSE Award for History|1
Sahitya Akademi Award for English|1
Golden Archer Award for Primary|1
"World Fantasy Award Nominee for Best Anthology and Best Novella for ""Seventy-Two Letters"""|1
Prijs van de Vlaamse lezer|1
IACP Cookbook Awards for Literary Food Writing|1
RITA Award by Romance Writers of America Nominee for Paranormal Romance & Best First Book|1
Premi de la Fundació d'Amics de les Arts i les Lletres de Sabadell|1
RITA Award by Romance Writers of America for Best Series Historical Romance|1
"Agatha Award for Best Short Story for ""Kim's Game"" by M.D. Lake"|1
"Sidewise Award for Best Short Form for ""Seventy-Two Letters"""|1
Marsh Award for Children's Literature in Translation|1
Grand Prix de l'Imaginaire Nominee for Nouvelle étrangère|1
F. Bordewijkprijs|1
Ohioana Book Award for Nonfiction|1
Will Eisner Comic Industry Awards for Best Short Story|1
Wisconsin Library Association Literary Award|1
Riksmålsforbundets barne- og ungdomsbokpris|1
Barry Award Nominee for Best Thriller|1
London Book Festival for Photography/Art|1
World Fantasy Award for Best Anthology|1
Gumshoe Award for Best European Crime Novel|1
San Diego Book Award Nominee for Best Western or Historical Romance|1
Prix Femina Vacaresco|1
Preis der Jugendjury|1
"Locus Award Nominee for Best Novelette for ""The Locusts"|1
Asimov's Readers' Poll Award for Best Novelette|1
Aurealis Award for Best Science Fiction Novel|1
Audie Award for Literary Fiction & Classics|1
Spur Award for Best Juvenile Nonfiction|1
PEN/Macmillan Silver Pen Award|1
Schlegel-Tieck Prize for Krishna Winston|1
Lambda Literary Award Nominee for Anthologies/Nonfiction|1
"Nebula Award Nominee for Best Novelette for ""Taklamakan"""|1
David Gemmell Legend Award for Best Fantasy Novel|1
Tennessee Young Readers Award|1
IGN Award for Best Collection|1
Pennsylvania Young Readers' Choice Award for Grades K-3|1
Lambda Literary Award Nominee for Gay Men's Mystery/Science Fiction|1
"Hugo Award Nominee for Best Short Story for ""The Edge of the World"""|1
HOLT Medallion by Virginia Romance Writers for Traditional|1
Национални фантастични награди for Най-добър превод за 2014 г. – първо място|1
National Book Critics Circle Award|1
More Than Magic Award Nominee for Historical|1
Harvey Awards for Best Graphic Album of Previously Published Work|1
Readers' Favorite Book Award for Children - Grade K-3rd|1
OKRWA National Readers Choice Award for Long Historical|1
Young Hoosier Book Award Nominee for Middle Grades|1
Lambda Literary Award Nominee for Drama|1
The Best of the Booker|1
1996|1
California Young Readers Medal for Middle School/Jr. High|1
British Science Fiction Association Award for 50th Anniversary Award Best Novel of 1958|1
"Hugo Award for Best Novelette for ""Bloodchild"""|1
Sir John A. Macdonald Prize|1
"Hugo Award for Best Novelette for ""Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N"|1
Prix de la Divulgation historique|1
"Theodore Sturgeon Memorial Award Nominee for ""Congenital Agenesis of Gender Ideation"""|1
Golden Heart by Romance Writers of America Nominee for Best Regency Romance|1
"James Tiptree Jr. Award for ""Congenital Agenesis of Gender Ideation"""|1
"World Fantasy Award Nominee for Best Short Fiction for ""The Edge of the World"""|1
Bram Stoker Award for Best Anthology|1
Lambda Literary Award for Gay Men's Biography/Autobiography|1
National Book Award for First Work of Fiction|1
Anthony Award for Best Historical Mystery|1
J.R. Ackerley Prize for Autobiography|1
National Book Award for History and Biography|1
Hessell-Tiltman Prize|1
CWA Debut Dagger|1
Bruce Alexander Memorial Historical Mystery Award|1
Borders Original Voices Award for YA or Independent Reader|1
Varjo-Finlandia|1
Pura Belpré Award for Illustration|1
"Analog Award Nominee for Best Novella/Novelette for ""Rockabye Baby"""|1
The Romance Journal: Best American Historical|1
Society of Midland Authors Award Nominee for Children's Fiction|1
Children's Book Council of Australia Award Nominee for Picture Book of the Year|1
Minnesota Book Award for Novels & Short Stories|1
Frederick Jackson Turner Award|1
Glass Key Award for Best Nordic Crime Novel|1
"Theodore Sturgeon Memorial Award for ""The Edge of the World"""|1
Washington Children's Choice Picture Book Award|1
"Balrog Award Nominee for Best Short Fiction for ""An Act of Faith"" and Nominee for Best Collection/Anthology"|1
Harvey Awards Nominee for Best Writer|1
Albert J. Beveridge Award|1
"Nebula Award Nominee for Best Novella for ""Forgiveness Day"""|1
"Locus Award Nominee for Best Novella for ""Anasazi"""|1
Canadian Historical Association Clio Prize|1
National Book Critics Circle Award Nominee for Biography|1
Boston Globe-Horn Book Award for Fiction and Poetry|1
"Agatha Award for Best Short Story for ""Too Much To Bare"" by Joan Hess"|1
RITA Award by Romance Writers of America for Best Romance of 1989|1
Prémio Vergílio Ferreira|1
Arthur Ross Book Award for Silver Medal|1
South Lanarkshire Award|1
Kate Tufts Discovery Award|1
Vondel Prize Nominee for Susan Massotty|1
Obie for Best New American Play|1
Lambda Literary Award for Lesbian Debut Fiction|1
Los Angeles Times Book Prize|1
Noma Literary Prize 野間文芸賞|1
Prémio Clube Literário do Porto|1
Harvey Awards for Best Graphic Album|1
"Locus Award for Best Novelette for ""Taklamakan"""|1
P2-lytternes romanpris Nominee|1
Locus Award for Best Art Book|1
"Nebula Award for Best Novelette for ""San Diego Lightfoot Sue"""|1
BTBA Best Translated Book Award Nominee for Fiction longlist|1
Governor General's Literary Awards / Prix littéraires du Gouverneur général for Children’s Literature — Text|1
Carter G. Woodson Award|1
Prix des libraires du Québec for Lauréats québécois|1
"Hugo Award for Best Novelette for ""The Bicentennial Man"""|1
RITA Award by Romance Writers of America Nominee for Traditional Romance|1
Friends of American Writers Award|1
Grand Prix des lectrices de Elle Québec|1
"Locus Award for Best Novelette for ""Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N"|1
Schlegel-Tieck Prize for Ian Crockatt|1
Children's Book Council of Australia Award for Book of the Year|1
Edgar Award Nominee for Best Juvenile|1
"Hugo Award Nominee for Best Novelette for ""San Diego Lightfoot Sue"""|1
BCCB Blue Ribbon Picture Book|1
Macavity Award for Best Critical/Biographical|1
Stockton Libraries Award|1
1997 awards)|1
Hunden som sprang mot en stjärna|1
Will Eisner Comic Industry Awards Nominee for Best Penciller/Inker or Penciller/Inker Team|1
Anisfield-Wolf Book Award for Fiction|1
Analog Award Nominee for Best Serial Novel or Novella|1
Sankei Children's Publishing Culture Award|1
New York City Book Award for Children's Book|1
Stockport Schools' Book Award|1
National Book Award Finalist for Contemporary Thought|1
for Absolute edition)|1
Premio Nazionale Letterario Pisa|1
"Locus Award for Best Novelette for ""Bloodchild"""|1
APSA Benjamin E. Lippincott Award|1
Sapphire Award winner|1
Children's Book Council of Australia Award for Book of the Year: Older Readers - Joint Winner|1
Stonewall Book Award for Non-Fiction|1
Best Coloring|1
Best Painter|1
New York City Book Award for Journalism|1
Prêmio Jabuti for Ilustração|1
com Tiago Veiga - Uma Biografia|1
P2-lytternes romanpris|1
"World Fantasy Award for Best Short Fiction for ""The Specialist's Hat"""|1
Philip Taft Labor History Book Award|1
IRA Children’s and Young Adult’s Book Award for Younger Reader Category|1
Kurt Maschler Award|1
